      72           20           40            0            0            0          600           40           60           40           60
      73            0           20            0            0           60          540           40          200          100           80
      74           20           20            0            0           40          360           40          280          220           40
      75            0           20            0            0           80          140           20          320          380           40
      76            0           20            0            0           40           60            0          260          480           80
      77            0            0            0           20           40           20           40          360          380           60
      78            0           20            0            0           40           40           80          440          580          160
      79            0            0           80            0           20            0           80          380          620          200
      80            0            0          140           60           40           20          120          380          380           80
      81            0            0          220           60           20            0          200          300          320           20
      82            0           20          260           80           40            0          180           60          140           60
      83            0           20          340          180           20            0           80           80          120            0
      84            0            0          380          320           80            0           80           40           80           40
      85            0            0          240          460           60            0           40           20           80            0
      86            0            0          100          420          180            0           80            0           60           40
      87            0            0           60          780          400            0           80            0           60           20
      88            0            0           40         1100          680            0           60            0            0          120
      89           40            0          100          660         1040           20           40            0           20          200
      90          100            0           60          160          680           20           60            0            0          140
      91           60            0           80           20          480           20           20            0            0          180
      92          160           40           60            0          240           20            0           20            0          180
      93           60            0           40            0          140            0           60            0           20           60
      94          140            0           40            0          160            0            0           20            0          180
      95          180           40           60            0          140           40           60           40            0          160
      96          160           20           80            0           20           20           60           20            0          200
      97          220           20            0            0           20           40           40           40            0          160
      98          120           20           40           40            0           40           60            0            0          180
      99          200           40            0           20            0           40           40           20            0          180
     100          240           40            0            0            0           40           20           80            0          180
     101          160           40            0            0            0           80           60          120            0           80
     102          260          120            0           20            0          100            0          120            0           80
     103          300          100            0            0            0           40            0           40            0          160
     104          380          140            0            0            0           60          140          260            0          140
     105          460          180            0           20            0           20          120          220            0           40
     106          680          260            0           40            0          120          120          200            0          100
     107          520          300            0           20            0          220          140          100            0           40
     108          320          600            0           20            0          200           60           60           20           60
     109           40          360            0            0            0          220           20          100           20           20
     110           20          300            0            0            0          100            0           80           40           40
     111            0          220            0            0            0          120           40          180           40           40
     112            0          160            0            0            0          140           40          200           80           20
     113            0          100            0           20            0           60            0          200           60            0
     114            0          120           20            0            0           40           40          160          100           20
     115            0          100           20            0            0            0            0          120           80            0
     116            0          100           60           20            0            0           40           60          200           60
     117            0          100           40            0           20            0          120           60          280           80
     118            0          100          100           20            0            0          120           20          440           80
     119            0           40          220           40           20            0           60           80          500          140
     120            0           20          360           40           20            0          120           60          440          100
     121            0           20          640          160            0            0          160           60          320           60
     122            0            0          500          260           40            0          140           40          140           80
     123            0           20          180          420           40            0           40            0          200           40
     124            0            0           40         1080           20            0          140            0           80           20
     125            0            0           40         1340          140           20          160            0           80          200
     126            0           60           20         1360          340           40          160            0          100          360
     127            0           20           60          820          700           80          180            0           40          380
     128            0          100           20          440          860          120           20            0            0          300
     129           60           20           20           60          660           80           20            0            0          340
     130           60           20           40            0          480           20           80           20           20          280
     131           40            0           80           20          340           80           40            0            0          320
     132           40            0           20            0          260           80          180           80            0          320
     133           60            0           60            0          340          120          140           60            0          320
     134          100            0           20            0          200          120          100           80            0          100
     135          120            0            0            0          260          220           40          100            0           40
     136          160            0           40            0          180          140          120           60            0           40
     137          140            0           60            0           20          100           60          160            0           80
     138          180            0           20            0           60           60           20           80            0           60
     139          160            0           20            0            0          100          100          180            0           20
     140          100           20           20            0           40           80          100          180            0           20
     141          220           20           20            0            0          120           60          180            0           20
     142          300           80            0            0           20           80           60          160            0           40
     143          200           80           20            0            0          220          100          260            0           20
     144          160           80           20            0           20          300          100          200            0           20
     145          340           80           20            0            0          280            0          240            0           60
     146          340           80            0            0            0          400           80          260            0            0
     147          500          140            0            0            0          320            0          360            0           60
     148          480          160           20            0            0          320           80          340           40           40
     149          240          200            0            0           20          160           60          340           60           20
     150          200          280           20            0            0           20          120          240           40           20
     151            0          180           80            0            0            0           40           60          160           40
     152           20          200           20            0           20           40           60           80          180            0
     153           20          160           20            0            0            0           20           20          200           40
     154            0          180           40            0            0           20           80           40          320           20
     155            0          160           80            0            0           20           40           60          520            0
     156            0           80          200            0            0            0            0           40          440           40
     157            0           40          360           20            0            0           40           80          360           40
     158            0          100          560           80            0            0           20          140          280           20
     159            0           60          820          160            0            0           20          100          140           80
     160           20          100          820          280            0            0           40           40          120          100
     161            0          100          520          720           20            0           20           20          100           80
     162            0          100           40         1140            0            0           40            0          160          220
     163            0          180           60         1640            0            0           60            0          180          280
     164            0          220          100         1680          100           40          100            0          100          420
     165            0          280           20         1120          420           40           60            0          120          480
     166           80          180           80          780          580           40          120            0           60          540
     167           60           80            0          140          440           40          180            0            0          560
     168           40           20            0           20          580           40           80            0           20          260
     169           60            0            0            0          460           20           60            0            0          260
     170           80            0           20            0          360            0          120           20            0          300
     171           60           20           20            0          240           40           60           40            0          280
     172           80            0           20            0          140           40          120           60            0          320
     173           60            0           20            0          140           20          140           40            0          260
     174           40            0           20            0          240            0          220           80            0          120
     175           60            0           20            0          240           20          200           60            0           60
     176           60            0           40            0          100           80          160           60            0            0
     177          120            0            0            0          220           60           80           20            0            0
     178           80           20           40            0          200           80           40           60            0            0
     179          180            0            0            0           60          140           60          100            0           20
